1, 4.7372000217438, 1, 3.7430000305176, 1, 743.92440009117, 5, 2, 2, 2, 321, ::1
0, 1.4668998718262, 0, 1.3680000305176, 1, 11.06920003891, 5, 2, 2, 2, 321, ::1
0, 1.4668998718262, 0, 1.3680000305176, 1, 11.06920003891, 5, 2, 2, 2, 321, ::1
0, 2.4639999866486, 0, 1.6568999290466, , 1.5989000797272, 5, 2, 3, 2, 231, ::1
0, 2.7453000545502, 0, 1.6104998588562, 1, 2.1681001186371, 5, 1, 2, 2, 312, ::1
0, 1.9688000679016, 0, 1.3489999771118, , 0.87479996681213, 23, 3, 1, 1, 213, ::1
0, 1.9688000679016, 0, 1.3489999771118, , 0.87479996681213, 23, 3, 1, 1, 213, ::1
0, 1.9688000679016, 0, 1.3489999771118, , 0.87479996681213, 23, 3, 1, 1, 213, ::1
0, 1.9688000679016, 0, 1.3489999771118, , 0.87479996681213, 23, 3, 1, 1, 213, ::1
0, 1.9688000679016, 0, 1.3489999771118, , 0.87479996681213, 23, 3, 1, 1, 213, ::1
